year,to_country_id,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url
2000,dk,Denmark,Love,Fly On The Wings Of  Olsen Brothers,1,,14,,1,195,,,,,,,Jørgen Olsen,,"Fly On The Wings Of Love\n\nIn the summer nights\nWhen the moon shines bright\nFeeling love forever\nAnd the heat is on\nWhen the daylight's gone\nStill happy together\n\nThere's just one more thing I'd like to add:\nShe's the greatest love I've ever had\n\nFly on the wings of love\nFly, baby, fly\nReaching the stars above\nTouching the sky\n\nAnd as time goes by\nThere's a lot to try\nAnd I'm feelin' lucky\nIn the softest sand\nSmiling hand in hand\nlove is all around me\n\nThere's just one more thing I'd like to add:\nShe's the greatest love I've ever had\n\nFly on the wings of love\nfly, baby, fly\nReaching the stars above\ntouching the sky\n\nIf you just fly\n(fly, baby, fly)\n\nFly on the wings of love (on wings of love)\nReaching the stars above (fly, baby, fly)\nTouching the sky\n\nFly on the wings of love, fly, baby, fly\nReaching the stars above, touching the sky\n\nFly on the wings of love (fly, baby, fly)\nFly, baby, fly (on the wings of love)\nReaching the stars above (fly, bаby, fly)\nTouching the sky\nIf you just fly on wingѕ of love",https://youtube.com/watch?v=JF8fkHK0AWs
2000,ru,Russia,Solo, Alsou,2,,9,,2,155,,,,,,,Andrew Lane;Brandon Barnes,,"Solo\n\nSitting alone, here in my room\nStaring at your picture from midnight till noon\nCounting the hours, counting the days\nYou know that I'll miss you in a million ways\n\nNow I wait in the cold and this is getting old\nNo more stories, no more lies, take me off this ride\nWhen you see me in the hall, I'll look at the wall\nBy my actions you should know – I'm going solo\nGoing solo\n\nMy friends try to tell me, I didn't want to listen\n'Cause I'm the kind of person gotta find out on my own\nI gave you my heart, you tore it apart\nBut I'm coming back strong, I knew it was wrong\n\nNow I wait in the cold and this is getting old\nNo more stories, no more lies, take me off this ride\nWhen you see me in the hall, I'll look at the wall\nBy my actions you should know\n\nNow I wait in the cold and this is getting old\nNo more stories, no more lies, take me off this ride\nWhen you see me in the hall, I'll look at the wall\nBy my actions you should know – I'm going solo\nGoing solo\n\nNow I wait…\nWait in the cold and this is getting old\nNo more stories, no more lies, take me off this ride\nWhen you see me in the hall, I'll look at the wall\nBy my actions you should know\n\nNow I wait in the cold and this is getting old\nNo more stories, no more lies, take me off this ride\nWhen you see me in the hall, I'll look at the wall\nBy my аctions you should know – I'm going ѕolo",https://youtube.com/watch?v=ISHSkWFHcI0
2000,lv,Latvia,Star,My  BrainStorm,3,,21,,3,136,,,,,,,Reynard Cowper,,"My Star\n\nMy friends gonna call me: ""Hey dreamer, the stars you are watching are so far""\nTonight, I know, I will get there by plane or by bus - right to my star\nPretend there are things you just don't know in spite someone's told you are so cute\nYou have to ask and I will show the snow in the summer or so, so\n\nIf my star would fall or disappear at all\nI will follow my star till the end of my days\nAnd my heart's gonna lead me through so many ways\nAnd if you're gonna join me, I'll be your guide\nBaby, never say never, be my runaway-bride\n\nMy friends gonna tell me: ""Just calm down, the clouds you are walking are so high""\nThis is my chance, and I'll invite all the dreamers and lovers to fly, fly\nI'm back from the future, life goes on, but still, I remember my promise\nYou have to ask and I will show the snow in the summer or so, so\n\nIf my star would fall or disappear at all\nI will follow my star till the end of my days\nAnd my heart's gonna lead me through so many ways\nAnd if you're gonna join me, I'll be your guide\nBaby, never say never, be my runaway-bride, yeah\n\nMy runaway-bride, hey hey hey… hey yeah…\n\nIf my star would fall or disappear at all\nI will follow my star till the end of my days\nAnd my heart's gonna lead me through so many ways\nAnd if you're gonna join me, I'll be your guide\nBaby, never ѕay never, be my runaway-bride\n\nAh… hey… my runawаy…",https://youtube.com/watch?v=RUynGeEILsU
2000,ee,Estonia,Lifetime,Once In A  Ines,4,,4,,4,98,,,,,,,Alar Kotkas;Ilmar Laisaar;Pearu Paulus,Jana Hallas,"Once In A Lifetime\n\nI don't wish I could turn back time, I can move the mountains higher than high\nDon't look back, hold on to your spirit, keep moving every minute\n\nI know it seems a little premature to live for the moment, I'm just a girl\nDon't look back, hold on to your spirit, keep moving every minute\n\nWhat you give is what you get - there ain't no regrets\n\nIf you give me wings and reason why then I'll be an angel in your sky\nBecause I'm seventeen only once in a lifetime\nRead my mind\n\nI'm ready, why are you standing still? Are you coming with me? - I know you will\nWe can search the world together, come on, baby, now or never\n\nWhat you give is what you get - there ain't no regrets\n\nIf you give me wings and reason why then I'll be an angel in your sky\nBecause I'm seventeen only once in a lifetime\nRead my mind\n\nIf you give me wings and reason why then I'll be an angel in your sky\nBecause I'm seventeen only once in a lifetime\nRead my mind\n\nI believe there's a better place always somewhere else instead\nI believe the grass is greener if I chase the magic no one else can find\n(The magic no one else can find)\n\nIf you give me wings and reason why then I'll be an angel in your sky\nBecause I'm seventeen only once in a lifetime\nRead my mind\n\nIf you give me wings and reason why then I'll be an angel in your sky\nBecause I'm seventeen only once in a lifetime\nRead my mind\n\nBecause I'm ѕeventeen only once in а lifetime",https://youtube.com/watch?v=mumDDE7s13o
2000,de,Germany,da?,Wadde hadde dudde  Stefan Raab,5,,15,,5,96,,,,,,,Stefan Raab,,"Wadde hadde dudde da?\n\nLadies and gentlemen, please \nPut your  patsche hands together \nFor the sensational super sack of German television \nStefan Raab \n\nOh my god, he is real \nYahow… he's been to America and said: \n""If I can make it there"" \n""I'm never gonna make it to Germany again"" \nAnd tonight, here he is, back again! \n\nWadde hadde dudde da?\n\nWadde hadde dudde da? Wadde hadde dudde da?\nWadde hadde dudde da? Wadde hadde dudde da?\n\nHadder denn da wat, un wenn ja, wat hadder da?\nHadder da watt glatt, oder hadder da wat Haar da?\nHadder da wat, wat sonst keiner hat?\nOder hadder dat auf dat, dat wadder da hat?\nDat wadder da da hat, dat hadder nu ma da\nDabei war ja gar nicht klar, dat dat dat da war\nWat dat war, dat war unklar\nUm darum, sammer domma, bidde, wadde hadde dudde da?\n\n(I am so curious, I just wanna know what you there have) \n(I am so curious, I just wanna know what you there have) \n\nWadde hadde dudde da?\n\nWadde hadde dudde da? Wadde hadde dudde da?\nWadde hadde dudde da? Wadde hadde dudde da?\n\nAha… wadde hadde dudde da?\nWadde dudde da da hat, hat ich schon vor 'nem Jahr\nNee, nee, dat war weder dat, dat oder dat da\nWie, dat dat wat war?\nIch dachte dat dat dat war\nWat dat da war, dat is noch immer nich klar\nUn ob dat matt, platt, glatt, satt oder wat auch immer war\nDat dat wat war, un wenn, wat dat da war\nBidde, bidde, sammer domma, wadde hadde dudde da?\n\n(I am so curious, I just wanna know what you there have) \n(I am so curious, I juѕt wanna know what you there have) \n\nWadde hadde dudde da?\n\nWadde hadde dudde da? Wadde hadde dudde da?\nWadde hadde dudde da? Wadde hadde dudde da?\n\nWadde hadde dudde da? Wadde hadde dudde da?\nWadde hadde dudde da? Wadde hadde dudde da?\n\nWadde hadde dudde da? Wadde hadde dudde dа?\nOh mein Gott!",https://youtube.com/watch?v=4MAFR3g4nvA
2000,ie,Ireland,Love,Millennium Of  Eamonn Toal,6,,23,,6,92,,,,,,,Gerry Simpson,Raymond J. Smyth,"Millennium Of Love\n\nNature's child lays beside a mother's broken heart\nWe stand denied the power and glory\nBitterness can't feed the hungry, hate just leaves us cold\nIt's time to change it\n\nI lit a candle in a dream I thought I heard\nLiberated voices crying freedom\nOpen hearts, open doors in truth and honesty\nLet wisdom be the guiding light\n\nCelebrate the new millennium of love\nWhere our footprints leave a harvest for the children\nSomewhere on our journey lies a world beyond compare\nI believe we all have the answer\n\nA cloud can hide a mountain\nAnd a face can hide the pain\nSearch until you find the answer\nThere is no reason\nWho can understand man's inhumanity to man?\n\nCelebrate the new millennium of love\nWhere our footprints leave a harvest for the children\nSomewhere on our journey lies a world beyond compare\nI believe, I believe, I believe, I believe in you\n\n(Celebrate the new millennium of love)\nLet our footprints leave a harvest for the children\nSomewhere on our journey lies a world beyond compare\nI believe we all have the answer\nI believe we all have the аnѕwer",https://youtube.com/watch?v=hE6J_t1pm0U
2000,se,Sweden,Name,When Spirits Are Calling My  Roger Pontare,7,,18,,7,88,,,,,,,Linda Jansson;Peter Dahl;Thomas Holmstrand,,"When Spirits Are Calling My Name\n\nI am caught in a trap, there is no turning back, I'm finally facin' the fear\nThe sky is on fire, and up with the flames, my hope and my dreams disappear\nSo bring me the power, I'll be the king of the land and the seas\nShow me the way to go, let me fight with my body and soul\n\nLet me be the native son with freedom in my heart\nLife will never be the same when spirits are calling my name\nMy name…\n\nLet me out of the darkness, the shadow of pain, and I'm keepin' my promise to you\nMy people, my spirit, the home of my heart - you're with me wherever I go\nSo bring me the power, I'll be the king of the land and the seas\nI've got a way to go, let me fight with my body and soul\n\nLet me be the native son with freedom in my heart\nLife will never be the same when spirits are calling my name\nMy name…\n\nSo bring me the power, I'll be the king of the land and the seas\nI've got a way to go, let me fight with my body and soul\n\nLet me be the native son with freedom in my home\nLife will never be the same when spirits are calling my name\n\nSpiritѕ are calling my nаme",https://youtube.com/watch?v=873dUOlMAe8
2000,mt,Malta,Desire, Claudette Pace,8,,7,,8,73,,,,,,,Philip Vella,Gerard James Borg,"Desire\n\nFrom the first day I saw you\nTo the last time we met\nI've desired to hold you\nHave you and make you mine\n\nBut to have and to hold\nTo love and to grow\nIt takes two hearts that beat\nTo the rhythm of one\n\nWhen you push me away\nI taste fear and pain\nTurns my fire to smoke\nWith one word, with one stroke\n\nDeep in my heart is desire to love\nDeep in my soul is desire to grow\nDeep in your smile is desire for more\nDeep when we kiss, the feeling that can't be missed\n\nLet me live, let me die\nLet me laugh, let me cry\nLet me burn in your fire\nIn flames of desire\n\nBe my river of hope\nMy mountain of truth\nLet me colour your life\nWith the colour of love\n\nDeep in my heart is desire to love\nDeep in my soul is desire to grow\nDeep in your smile is desire for more\nDeep when we kiss, the feeling that can't be missed\n\nDejjem ridtek\nDejjem xtaqtek\nLilek ћabbejt\n\nTake me up, take me down\nTake me into your arms\nSpin the magic of love\nWith one word, with one smile\n\nMy desire runs deep\nAnd I'm losing sleep\nI wake up to the light\nYou're the key to my heart\n\nDeep in my heart is desire to love\nDeep in my soul is desire to grow\nDeep in your smile is desire for more\nDeep when we kiss, the feeling that can't be missed\n\n(Deep in my heart is desire to love)\nDeep in my soul\n(Deep in my soul is desire to grow)\nDeep in your smile is desire for more\nDeep when we kiss, the feeling that cаn't be missed\n\nDesire, desire, desire, deѕire love",https://youtube.com/watch?v=6rwEyHQxl0w
2000,hr,Croatia,anđeli,Kad zaspu  Goran Karan,9,,17,,9,70,,,,,,,Neno Ninčević;Nikša Bratoš;Zdenko Runjić,,"Kad zaspu anđeli\n\nPoljubi me i budi tu\nDa sklopim oči na tvom toplom ramenu\nPoljubi me i budi tu\nNek srce lupa kao da je prvi put\nPoljubi me, pomoli se\nSve svijeće svijeta nek se za nas upale\n\nOstani ovu noć, kad svi mi prijete\nOstani, zagrli me kao dijete\nOstani, kad sva si ljubav moja samo ti\nOstani, da me čuvaš kada zaspu anđeli\n\nPoljubi me i budi tu\nNek srce lupa kao da je prvi put\nPoljubi me, pomoli se\nSve svijeće svijeta nek se za nas upale\n\nOstani ovu noć, kad svi mi prijete\nOstani, zagrli me kao dijete\nOstani, kad sva si ljubav moja samo ti\n\nOstani ovu noć, kad svi mi prijete\nOstani, zagrli me kao dijete\nOstani, kad sva si ljubav moja samo ti\nOstani, da me čuvaš kada zaѕpu аnđeli",https://youtube.com/watch?v=248g0rsi9i4
2000,tr,Turkey,anla,Yorgunum  Pınar & The S.O.S.,10,,22,,10,59,,,,,,,Sühan Ayhan,Orkun Yazgan;Pınar Ayhan,"Yorgunum anla\n\nBak, akan o her damla bir yana\nSararıyor geçmiş sayfamda\nİzleri siliniyor, renkleri soluyor\nSevgisiz anıların\n\nÇal, benim için son bir defa çal\nYüreğimin sızısını al\nAl götür uzağına, sevgisiz anıların\nAcısına yanarım\n\nDuyuyor musun kırgın sessizliğimi, sustuğum anda?\nKapıyor musun hala bana gözlerini? Yorgunum anla\nDuyuyor musun kırgın sessizliğimi, sustuğum anda?\nKapıyor musun hala bana gözlerini? Yorgunum anla\n\nArtık izleri siliniyor\nRenkleri soluyor\nSevgisiz anıların\n\nCry for the song that's playin' round and round\nYou used to sing just for me all alone\nAnd it hurts my heart to know\nThe love we shared so long will follow you like a nightmare\nThen you will care\n\nDo you hear the sound of silence, the moment I don't wanna talk and cry?\nDo you really close your eyes? Don't you see I'm weary? Tell me why\nDo you hear the sound of silence, the moment I don't wanna talk and cry?\nDo you really close your eyes? Don't you see I'm weary? Tell me why\n\nDuyuyor musun kırgın sessizliğimi, sustuğum anda?\nKapıyor musun hala bana gözlerini?\nDönmedim ѕana, kalbine gizle beni\nYorgunum artık, anlа beni",https://youtube.com/watch?v=rpgLTblTilY
