year,country,artist,song
2016,Ukraine,Jamala,1944
2016,Australia,Dami Im,Sound of Silence
2016,Russia,Sergey Lazarev,You Are the Only One
2016,Bulgaria,Poli Genova,If Love Was a Crime
2016,Sweden,Frans,If I Were Sorry
2016,France,Amir,J'ai Cherché
2016,Armenia,Iveta Mukuchyan,LoveWave
2016,Poland,Michał Szpak,Color of Your Life
2016,Lithuania,Donny Montell,I've Been Waiting for This Night
2016,Belgium,Laura Tesoro,What's the Pressure
2016,Netherlands,Douwe Bob,Slow Down
2016,Malta,Ira Losco,Walk on Water
2016,Austria,Zoë,Loin d'ici
2016,Israel,Hovi Star,Made of Stars
2016,Latvia,Justs,Heartbeat
2016,Italy,Francesca Michielin,No Degree of Separation
2016,Azerbaijan,Samra,Miracle
2016,Serbia,Sanja Vučić ZAA,Goodbye (Shelter)
2016,Hungary,Freddie,Pioneer
2016,Georgia,Nika Kocharov & Young Georgian Lolitaz,Midnight Gold
2016,Cyprus,Minus One,Alter Ego
2016,Spain,Barei,Say Yay!
2016,Croatia,Nina Kraljić,Lighthouse
2016,United Kingdom,Joe & Jake,You're Not Alone
2016,Czechia,Gabriela Gunčíková,I Stand
2016,Germany,Jamie,Lee Kriewitz
2016,Bosnia and Herzegovina,Dalal & Deen feat. Ana Rucner & Jala,Ljubav Je
2016,North Macedonia,Kaliopi,Dona
2016,Belarus,Ivan,Help You Fly
2016,San Marino,Serhat,I Didn't Know
2016,Norway,Agnete,Icebreaker
2016,Montenegro,Highway,The Real Thing
2016,Slovenia,ManuElla,Blue and Red
2016,Iceland,Greta Salóme,Hear Them Calling
2016,Finland,Sandhja,Sing It Away
2016,Ireland,Nicky Byrne,Sunlight
2016,Albania,Eneda Tarifa,Fairytale
2016,Greece,Argo,Utopian Land
2016,Denmark,Lighthouse X,Soldiers of Love
2016,Moldova,Lidia Isac,Falling Stars
2016,Switzerland,Rykka,The Last of Our Kind
2016,Estonia,Jüri Pootsmann,Play
2017,Portugal,Salvador Sobral,Amar Pelos Dois
2017,Bulgaria,Kristian Kostov,Beautiful Mess
2017,Moldova,Sunstroke Project,Hey Mamma
2017,Belgium,Blanche,City Lights
2017,Sweden,Robin Bengtsson,I Can't Go On
2017,Italy,Francesco Gabbani,Occidentali's Karma
2017,Romania,Ilinca feat. Alex Florea,Yodel It!
2017,Hungary,Joci Pápai,Origo
2017,Australia,Isaiah,Don't Come Easy
2017,Norway,Jowst,Grab the Moment
