year,from_country,to_country,points,to_region
2016,Albania,Ukraine,0,Eastern Europe
2016,Armenia,Ukraine,0,Eastern Europe
2016,Australia,Ukraine,2,Eastern Europe
2016,Austria,Ukraine,0,Eastern Europe
2016,Azerbaijan,Ukraine,10,Eastern Europe
2016,Belarus,Ukraine,7,Eastern Europe
2016,Belgium,Ukraine,3,Eastern Europe
2016,Bosnia and Herzegovina,Ukraine,12,Eastern Europe
2016,Bulgaria,Ukraine,0,Eastern Europe
2016,Croatia,Ukraine,0,Eastern Europe
2016,Cyprus,Ukraine,0,Eastern Europe
2016,Czechia,Ukraine,0,Eastern Europe
2016,Denmark,Ukraine,12,Eastern Europe
2016,Estonia,Ukraine,7,Eastern Europe
2016,Finland,Ukraine,0,Eastern Europe
2016,France,Ukraine,0,Eastern Europe
2016,Georgia,Ukraine,12,Eastern Europe
2016,Germany,Ukraine,7,Eastern Europe
2016,Greece,Ukraine,2,Eastern Europe
2016,Hungary,Ukraine,0,Eastern Europe
2016,Iceland,Ukraine,0,Eastern Europe
2016,Ireland,Ukraine,0,Eastern Europe
2016,Israel,Ukraine,12,Eastern Europe
2016,Italy,Ukraine,10,Eastern Europe
2016,Latvia,Ukraine,12,Eastern Europe
2016,Lithuania,Ukraine,8,Eastern Europe
2016,Malta,Ukraine,0,Eastern Europe
2016,Moldova,Ukraine,12,Eastern Europe
2016,Montenegro,Ukraine,0,Eastern Europe
2016,Netherlands,Ukraine,3,Eastern Europe
2016,North Macedonia,Ukraine,12,Eastern Europe
2016,Norway,Ukraine,4,Eastern Europe
2016,Poland,Ukraine,12,Eastern Europe
2016,Russia,Ukraine,0,Eastern Europe
2016,San Marino,Ukraine,12,Eastern Europe
2016,Serbia,Ukraine,12,Eastern Europe
2016,Slovenia,Ukraine,12,Eastern Europe
2016,Spain,Ukraine,0,Eastern Europe
2016,Sweden,Ukraine,0,Eastern Europe
2016,Switzerland,Ukraine,6,Eastern Europe
2016,United Kingdom,Ukraine,10,Eastern Europe
2016,Albania,Australia,12,Other
2016,Armenia,Australia,5,Other
2016,Austria,Australia,12,Other
2016,Azerbaijan,Australia,7,Other
2016,Belarus,Australia,6,Other
2016,Belgium,Australia,12,Other
2016,Bosnia and Herzegovina,Australia,10,Other
2016,Bulgaria,Australia,8,Other
2016,Croatia,Australia,12,Other
2016,Cyprus,Australia,10,Other
2016,Czechia,Australia,0,Other
2016,Denmark,Australia,10,Other
2016,Estonia,Australia,10,Other
2016,Finland,Australia,8,Other
2016,France,Australia,6,Other
2016,Georgia,Australia,8,Other
2016,Germany,Australia,6,Other
2016,Greece,Australia,7,Other
2016,Hungary,Australia,12,Other
2016,Iceland,Australia,10,Other
2016,Ireland,Australia,0,Other
2016,Israel,Australia,10,Other
2016,Italy,Australia,6,Other
2016,Latvia,Australia,5,Other
2016,Lithuania,Australia,12,Other
2016,Malta,Australia,3,Other
2016,Moldova,Australia,10,Other
2016,Montenegro,Australia,4,Other
2016,Netherlands,Australia,12,Other
2016,North Macedonia,Australia,8,Other
2016,Norway,Australia,10,Other
2016,Poland,Australia,10,Other
2016,Russia,Australia,2,Other
2016,San Marino,Australia,0,Other
2016,Serbia,Australia,6,Other
2016,Slovenia,Australia,6,Other
2016,Spain,Australia,8,Other
2016,Sweden,Australia,12,Other
