year,country,jury,tele,total,bias
2016,Ukraine,211,323,534,-112
2016,Australia,320,191,511,129
2016,Russia,130,361,491,-231
2016,Bulgaria,127,180,307,-53
2016,Sweden,122,139,261,-17
2016,France,148,109,257,39
2016,Armenia,115,134,249,-19
2016,Poland,7,222,229,-215
2016,Lithuania,104,96,200,8
2016,Belgium,130,51,181,79
2016,Netherlands,114,39,153,75
2016,Malta,137,16,153,121
2016,Austria,31,120,151,-89
2016,Israel,124,11,135,113
2016,Latvia,69,63,132,6
2016,Italy,90,34,124,56
2016,Azerbaijan,44,73,117,-29
2016,Serbia,35,80,115,-45
2016,Hungary,52,56,108,-4
2016,Georgia,80,24,104,56
2016,Cyprus,43,53,96,-10
2016,Spain,67,10,77,57
2016,Croatia,40,33,73,7
2016,United Kingdom,54,8,62,46
2016,Czechia,41,0,41,41
2016,Germany,1,10,11,-9
2017,Portugal,382,376,758,6
2017,Bulgaria,278,337,615,-59
2017,Moldova,110,264,374,-154
2017,Belgium,108,255,363,-147
2017,Sweden,218,126,344,92
2017,Italy,126,208,334,-82
2017,Romania,58,224,282,-166
2017,Hungary,48,152,200,-104
2017,Australia,171,2,173,169
2017,Norway,129,29,158,100
2017,Netherlands,135,15,150,120
2017,France,45,90,135,-45
2017,Croatia,25,103,128,-78
2017,Azerbaijan,78,42,120,36
2017,United Kingdom,99,12,111,87
2017,Austria,93,0,93,93
2017,Belarus,50,33,83,17
2017,Armenia,58,21,79,37
2017,Greece,48,29,77,19
2017,Denmark,69,8,77,61
2017,Cyprus,36,32,68,4
2017,Poland,23,41,64,-18
2017,Israel,34,5,39,29
2017,Ukraine,12,24,36,-12
2017,Germany,3,3,6,0
2017,Spain,0,5,5,-5
2018,Israel,212,317,529,-105
2018,Cyprus,183,253,436,-70
2018,Austria,271,71,342,200
2018,Germany,204,136,340,68
2018,Italy,59,249,308,-190
2018,Czechia,66,215,281,-149
2018,Sweden,253,21,274,232
2018,Estonia,143,102,245,41
2018,Denmark,38,188,226,-150
2018,Moldova,94,115,209,-21
2018,Albania,126,58,184,68
2018,Lithuania,90,91,181,-1
2018,France,114,59,173,55
2018,Bulgaria,100,66,166,34
2018,Norway,60,84,144,-24
2018,Ireland,74,62,136,12
2018,Ukraine,11,119,130,-108
2018,Netherlands,89,32,121,57
2018,Serbia,38,75,113,-37
2018,Australia,90,9,99,81
2018,Hungary,28,65,93,-37
2018,Slovenia,41,23,64,18
2018,Spain,43,18,61,25
2018,United Kingdom,23,25,48,-2
2018,Finland,23,23,46,0
2018,Portugal,21,18,39,3
2019,Netherlands,237,261,498,-24
2019,Italy,219,253,472,-34
2019,Russia,126,244,370,-118
2019,Switzerland,152,212,364,-60
2019,Sweden,241,93,334,148
2019,Norway,40,291,331,-251
2019,North Macedonia,247,58,305,189
2019,Azerbaijan,202,100,302,102
2019,Australia,153,131,284,22
2019,Iceland,46,186,232,-140
2019,Czechia,150,7,157,143
2019,Denmark,69,51,120,18
2019,Cyprus,77,32,109,45
2019,Malta,87,20,107,67
2019,Slovenia,46,59,105,-13
2019,France,67,38,105,29
2019,Albania,43,47,90,-4
2019,Serbia,35,54,89,-19
2019,San Marino,12,65,77,-53
2019,Estonia,28,48,76,-20
2019,Greece,50,24,74,26
2019,Spain,1,53,54,-52
2019,Israel,0,35,35,-35
2019,Belarus,18,13,31,5
2019,Germany,24,0,24,24
2019,United Kingdom,8,3,11,5
2021,Italy,206,318,524,-112
2021,France,248,251,499,-3
2021,Switzerland,267,165,432,102
2021,Iceland,198,180,378,18
2021,Ukraine,97,267,364,-170
2021,Finland,83,218,301,-135
2021,Malta,208,47,255,161
2021,Lithuania,55,165,220,-110
2021,Russia,104,100,204,4
2021,Greece,91,79,170,12
2021,Bulgaria,140,30,170,110
2021,Portugal,126,27,153,99
2021,Moldova,53,62,115,-9
2021,Sweden,46,63,109,-17
2021,Serbia,20,82,102,-62
2021,Cyprus,50,44,94,6
2021,Israel,73,20,93,53
2021,Norway,15,60,75,-45
2021,Belgium,71,3,74,68
2021,Azerbaijan,32,33,65,-1
2021,Albania,22,35,57,-13
2021,San Marino,37,13,50,24
2021,Netherlands,11,0,11,11
2021,Spain,6,0,6,6
2021,Germany,3,0,3,3
2021,United Kingdom,0,0,0,0
2022,Ukraine,192,439,631,-247
2022,United Kingdom,283,183,466,100
2022,Spain,231,228,459,3
2022,Sweden,258,180,438,78
2022,Serbia,87,225,312,-138
2022,Italy,158,110,268,48
2022,Moldova,14,239,253,-225
2022,Greece,158,57,215,101
2022,Portugal,171,36,207,135
2022,Norway,36,146,182,-110
2022,Netherlands,129,42,171,87
2022,Poland,46,105,151,-59
2022,Estonia,43,98,141,-55
2022,Lithuania,35,93,128,-58
